,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
16,Observation Post,2,16.3869,107.6687,YD855133,6541-4,"aka OP (Hill) 180, OP Tango, USMC. FO detachment from 1/39th Arty (US) 3Nov69-31Jan70. Phu Bai.",591,
17,Fire (Support)(Support Patrol) Base,2,10.7267,107.1888,YS398863,6430-3,See FSB Berryman.,,
18,Fire (Support)(Support Patrol) Base,2,10.7192,107.2454,YS460855,6430-3,"161 FB RNZA (105mm)(T), 108 FB RAA 10-11Jan68. Op Duntroon.",10,
19,Fire (Support)(Support Patrol) Base,2,10.6927,107.2483,YS463826,6430-2,aka FSB Gabo. RNZA ’67-68.,,
20,Position,2,10.7918,107.5494,YS792938,6530-4,"Obj 2. 4-/39th, 2/47th Inf (M) 3Nov67. Op Santa Fe.",AD389815,
21,Outpost,2,10.8784,106.8571,YT034028,6330-1,"Outpost 2, Long Hung Ville. B/720th MP Bn.",185,
22,Checkpoint,2,11.0823,107.5016,YT737259,6531-3,173rd Abn TF 16-21Dec65. Op Smash. S of Vo Dat.,9,
23,Position,2,13.5341,107.6189,YV839973,6536-3,Block 2. Rcn/2/8th Cav 2Apr66. Op Lincoln.,AD833869,
24,Fire (Support)(Support Patrol) Base,2,14.1199,107.8025,ZA030624,6537-2,Hill 1268. 3/5th Cav.,,
25,Artillery Position,2,14.1199,107.8025,ZS195938,6530-1,"Pos/LZ 2. 3-/319th (Abn) Arty (105mm)(T), 1 RAR 13Apr66. Op Austin. vic Ham Tan.",4,
26,SF,2 CTZ MSF,13.9807,108.0008,AR765474,6636-4,"aka C-2 Camp. SF Det A-219 1965. Pleiku, moved to Kontum.",,
27,Landing Zone,2A,11.4059,109.0027,BN826613,6831-4,9Mar67.,,
28,Landing Zone,2A,13.9776,107.5453,YA754464,6536-4,C-/1/35th Inf 4Jun66.,1/35 Inf DSJ,
29,Landing Zone,2A,13.9739,107.5481,YA757460,6536-4,B/1/35th Inf 26Sep66.,1/35 Inf DSJ,
30,Landing Zone,2A,13.9793,107.55,YA759466,6536-4,2/5th Cav 2Jun66. Op Paul Revere.,140,
31,Landing Zone,2A,14.0975,107.6467,YA862598,6537-3,1/9th Cav Jun66. Op Rattle. Grid from overlay. This grid also LZ 503A (see).,AD844158,
32,Landing Zone,2C,13.9757,107.5527,YA762462,6536-4,2/5th Cav 2Jun66. Op Paul Revere.,140,
33,Observation Post,2-1,15.6918,108.2073,BT011364,6640-3,"aka Tiger Base, OP Tiger. Also AT988387.",,
34,Riverine Assault Landing Zone,2-6,10.3838,106.2641,XS388478,6229-1,Beach LZ 2-6. B/3/47th Inf (Riv) 19Dec67. Op Tiger Coronado IX.,5,
35,Landing Zone,3,11.1522,108.0329,AN764341,6631-3,B/1/50th Inf (M) 13Oct69. Also 764340.,1/50 Inf DSJ,
36,Landing Zone,3,11.154,108.0356,AN767343,6631-3,B/1/50th Inf (M) 13Oct69.,,A
37,Landing Zone,3,,,,,Vicinity of Ban Me Thuot. 1/14th Inf Mar66.,,A
38,Checkpoint,3,13.8859,108.0107,AR774368,6636-4,"D-/1/9th Cav 23Aug66. Op Paul Revere II. Int. of QL-14-19, Pussy Mtn. Also CP 31 in AD387627.","6, AD385846",
39,Observation Post,3,16.0615,108.1404,AT946775,6641-3,7th EBn USMC.,,
40,Observation Post,3,16.02703,108.16644,AT97277366,6641-3,"2/12th Marines Jan66. Division Ridge, Da Nang.",2/12 Marines CC,
41,Landing Zone,3,11.3809,109.0023,BN825585,6831-4,Mar67.,,
42,Landing Zone,3,12.4505,109.0399,BP874768,6833-4,16Apr67.,,
43,Fire (Support)(Support Patrol) Base,3,13.9724,108.5526,BR361457,6736-4,"aka LZ/FSB Schueller, LZ Road, Checkpoint 89.",,
44,Landing Zone,3,14.3809,108.7475,BR576907,6737-1,A/1/7th Cav 13Mar66. Op Jim Bowie.,AD829472,
45,Position,3,14.362,108.8533,BR690885,6737-1,Block. D/1/12th Cav 13Mar66. Op Jim Bowie.,AD829472,
46,Landing Zone,3,14.0272,108.9065,BR744514,6737-2,30Dec65.,,
47,Landing Zone,3,14.2975,108.914,BR755813,6737-1,30Oct66.,,
48,Landing Zone,3,14.8349,108.702,BS532410,6738-4,C-/4/3rd Inf 3Jan71. South of Minh Long.,4/3 Inf OPORD 1-71,
49,Observation Post,3,14.92,108.7215,BS554504,6738-1,3/12th Marines 20Nov65. No GZD listed.,537,
50,Observation Post,3,15.3597,108.7267,BS565991,6739-4,RMK Site. Chu Lai. Also 578976.,,
51,Checkpoint,3,15.3619,108.8229,BS668992,6739-1,C/1/7th Marines 24Aug65. Op Starlite.,7,
52,Observation Post,3,14.8567,108.9061,BS752432,6738-1,G-/29th Arty (SLT) Oct70. vic FSB Liz.,AD515147,
53,Observation Post,3,14.8459,108.9071,BS753420,6738-1,IOS 23Mar71.,"AD520351, AD506484",
54,Observation Post,3,14.8468,108.908,BS754421,6738-1,"aka OP Nui Xuong Giong, Hill 160 (contour). 271st FA Det (GSR) Oct70.","1, AD515335, AD519973, AD513756",
55,Landing Zone,3,14.5827,108.9839,BS833128,6738-2,"A,B/1/7th Cav 4May66. Op Davy Crockett.",AD824475,
56,Landing Zone,3,14.54,109.0,BS8507,6838-3,2/7th Cav 28Jan66. Op Masher. Only info is description on the eastern end of position STEEL .,646,
57,Landing Zone,3,16.0698,108.2296,BT041783,6641-3,Da Nang.,323,
58,Landing Zone,3,16.0628,108.2465,BT059775,6641-2,"Apparently the pad at the General’s beach house, China Beach.",335,
0,Observation Post,3,15.7487,108.2952,BT107426,6640-2,USMC.,,
1,Observation Post,3,15.5387,108.3765,BT191193,6640-2,B/5/46th Inf 26Aug68. Op Burlington Trail. Grid from narrative/map.,119,
2,Observation Post,3,15.42014,108.6985,BT53510578,6739-4,CLCB. 3/12th Marines Jun65. Elev. 13.8m.,3/12 Marines CC,
3,Position,3,11.5344,105.8903,WT975749,6132-2,"Objective 3. 2/22nd Inf (M) CP/NDP 3Feb67. Op Gadsden. Lo Go ville, Cambodian border crossing. Site of FSB Mini.",577,
4,Landing Zone,3,10.6457,106.3474,XS478768,6230-2,ARVN 25 ID 18Apr66.,"392, AD391696",
5,Landing Zone,3,10.7599,106.4887,XS632895,6230-1,ARVN 31/3 Abn Bn CA 30Jan67. Op Fairfax. Lift for LZ 4 mistakenly dropped here.,AD394027,
6,Landing Zone,3,10.6307,106.5363,XS685752,6330-3,25th ID ’66. Op Lanikai. Grid from map.,343,A
7,Landing Zone,3,10.689,106.5515,XS701817,6330-3,A-/4/9th Inf CA 27Dec66. Op Fairfax.,AD394027,
8,Position,3,10.4173,106.8204,XS997518,6329-1,Obj 3. C/3/47th Inf (Riv) 14Aug67. Op Tiger Coronado III. RSSZ.,2,
9,Landing Zone,3,11.1904,106.0311,XT130369,6231-3,B/2/1st Inf 28Jan67.,,
10,Landing Zone,3,11.7372,106.102,XT205974,6232-3,1/2nd Inf 22Feb67. Op Junction City I.,AD390548,
11,Landing Zone,3,11.739,106.102,XT205976,6232-3,1/2nd Inf 22Feb67. Op Junction City I.,AD390548,
12,Landing Zone,3,11.7408,106.1038,XT207978,6232-3,1/1st ID 22Feb67. Op Junction City I.,AD390548,
13,Fire (Support)(Support Patrol) Base,3,11.5931,106.1775,XT288815,6232-3,See Artillery Base III.,,
14,Fire (Support)(Support Patrol) Base,3,11.6912,106.2216,XT336924,6232-3,1/5th Inf (M) 16Nov66. Op Attleboro.,AD387618,
15,Fire (Support)(Support Patrol) Base,3,11.098,106.45471,XT59302688,6231-2,"1-/5th Inf (M), A/3/21st Inf, 3-/82nd, A/2/77th Arty (105mm)(T) 6Jan67. Op Cedar Falls.","579, AD391115",
16,Landing Zone,3,11.1849,106.4675,XT607365,6231-2,2/28th Inf 9Jan67. Op Cedar Falls. Also 607366.,"710, AD391115",
17,Landing Zone,3,11.0792,106.4837,XT625248,6231-2,A/2/14th Inf 15Jan70.,,A
18,Landing Zone,3,11.53,106.5427,XT687747,6332-3,2/18th Inf 14Mar67. Op Junction City I.,AD390548,
19,Position,3,11.071,106.5917,XT743240,6331-3,Objective 3. 3/11th ACR. Op Cedar Falls 11Jan67.,AD391484,
20,Outpost,3,11.3,106.63,XT7849,6331-4,Combat Outpost 3. 3/5th Cav 14-15Mar67. Ap Bau Bang.,ADA171390,
21,Landing Zone,3,10.93,106.6286,XT784084,6330-4,A/4/9th Inf 26May68.,,
22,Artillery Position,3,11.0815,106.7461,XT911252,6331-2,"A/5/2nd Arty (AW)(SP), A/168th EBn (Cbt) base camp 3 6Aug67. Op Paul Bunyan.",168 CEB AAR,
23,Checkpoint,3,11.7711,106.5793,XU725014,6332-4,LTL-17.,AD387606,
24,Landing Zone,3,13.8103,107.4705,YA675278,6436-1,B/2/5th Cav 11Jan66. Op Matador. Also LZ Onyx. Op Lincoln.,376,A
25,Landing Zone,3,13.8666,107.6172,YA833342,6536-4,A/1/12th Cav 4Jan66. Op Matador. Also 832342.,376,
26,Landing Zone,3,14.7992,107.6799,YB889375,6538-4,35th Inf 17Apr-1May66. Op Longfellow.,3/25 ID AAR,
27,Fire (Support)(Support Patrol) Base,3,14.6278,107.6823,YB894185,6538-3,15Jun66.,,
28,Fire (Support)(Support Patrol) Base,3,14.5693,107.6974,YB911121,6538-3,See FSB Holloway.,,
29,Fire (Support)(Support Patrol) Base,3,14.6755,107.737,YB952239,6538-3,By Dak Mot Bridge (Bridge #3).,"392, AD506705, AD392678",
30,Fire (Support)(Support Patrol) Base,3,14.6746,107.7379,YB953238,6538-3,A/3/319th (Abn) Arty (105mm)(T) 7Nov67.,AD390643,
31,Fire (Support)(Support Patrol) Base,3,14.6755,107.7416,YB957239,6538-3,"D/5/16th Arty (155mm)(T)/(8"")(SP) 6Nov68.",AD501718,
32,Fire (Support)(Support Patrol) Base,3,14.6782,107.7416,YB957242,6538-3,aka FSB Dak Mot. A/3/319th (Abn) Arty (105mm)(T) 6Nov67.,AD390643,
33,Fire (Support)(Support Patrol) Base,3,14.6791,107.7435,YB959243,6538-3,C/6/14th Arty (105mm)(T) 18Aug67.,AD387519,
34,Landing Zone,3,16.1223,107.4223,YC595837,6441-2,2/501st Inf (Aml).,212,
35,Observation Post,3,15.4276,107.7781,YC986073,6539-1,"Kham Duc, Hill 492. CIDG and US. Grid from satellite photo YC98830700. Also 987071, 987073.",640,
36,Observation Post,3,15.4265,107.7792,YC988071,6539-1,"Kham Duc, Hill 492. CIDG and US (one squad from E/2/1st Inf) overrun 12May68. Also OP 1 (196th LIB 11May68).","637, 639",
37,Fire (Support)(Support Patrol) Base,3,16.3712,107.041,YD184107,6441-4,aka FSB Erskine. USMC.,,
38,Landing Zone,3,11.0581,106.8407,YT015227,6331-2,"Objective/LZ 3. 1/503rd Inf (Abn), 1 RAR 9Jul65. vic Tan Uyen.",10,
39,Outpost,3,10.8909,106.8629,YT040042,6330-1,"Outpost 3, An Hoa Hung Ville. B/720th MP Bn.",185,
40,Position,3,13.5297,107.622,YV843962,6536-3,Pos 3. B/2/8th Cav 2Apr66. Op Lincoln.,AD833869,
41,Observation Post,3,13.535,107.634,YV855975,6536-3,B-/2/8th Cav 2Apr66. Op Lincoln.,AD833869,
42,Fire (Support)(Support Patrol) Base,3,13.6409,107.8502,ZA088095,6536-2,"4-/503rd Inf (Abn), B/3/319th (Abn) Arty (105mm)(T) 10Jun67. Op Francis Marion. vic Plei Me.",346,A B
43,Landing Zone,3,10.7926,107.8774,ZS195938,6530-1,aka Position 3. 2/503rd Inf 13Apr66. Op Austin. vic Ham Tan.,4,
44,Fire (Support)(Support Patrol) Base,3A,13.9761,107.6018,YA815463,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 20Oct66.",1/35 Inf DSJ,
45,Fire (Support)(Support Patrol) Base,3A,13.9779,107.6018,YA815465,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 19Oct66.",1/35 Inf DSJ,
46,Landing Zone,3B,13.9768,107.6175,YA832464,6536-4,B/1/14th Inf 15Oct66.,3/25 ID TF Walker DSJ,
47,Landing Zone,3C,,,,,Oct66.,3/25 ID TF Walker DSJ,
48,Landing Zone,3D,13.9554,107.5923,YA805440,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 26Sep66.",1/35 Inf DSJ,
49,Landing Zone,3D,13.9563,107.5941,YA807441,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 26Sep66.",1/35 Inf DSJ,
50,Landing Zone,3D,13.9545,107.595,YA808439,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 26Sep66.",1/35 Inf DSJ,
51,Landing Zone,3D,13.9554,107.596,YA809440,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 26Sep66.",1/35 Inf DSJ,
52,Landing Zone,3E,13.962,107.6552,YA873448,6536-4,C 1/14th Inf 15Oct66. vic Plei Djereng.,3/25 ID TF Walker DSJ,
53,Landing Zone,3E,13.9619,107.6562,YA874448,6536-4,"C,Rcn,MS/1/14th Inf 15Oct66. vic Plei Djereng.",3/25 ID TF Walker DSJ,
54,Landing Zone,3F,13.9488,107.6153,YA830433,6536-4,A/1/14th Inf 15Oct66. vic Plei Djereng.,3/25 ID TF Walker DSJ,
55,Landing Zone,3G,13.9703,107.6396,YA856457,6536-4,C/3/4th Cav CP 30Oct66. Plei Djereng (new) AF.,AD385846,
56,Landing Zone,3G,13.9702,107.6424,YA859457,6536-4,4th ID ’68-9. Plei Djereng (new) AF.,,
57,Landing Zone,3G,13.9693,107.6479,YA865456,6536-4,4th ID FCP Oct66.,AD385846,
58,Landing Zone,3G,13.9684,107.6488,YA866455,6536-4,"aka Plei Doch (map) or Dochi (report). 3 TF/25th ID CP 21Oct66. Also 865455, FSA Paul Revere IV.","622, 723, AD510787, 1/35 Inf DSJ",
0,Landing Zone,3G,13.9702,107.6489,YA866457,6536-4,A/1/69th Armor CP 30Oct66.,AD385846,
1,Landing Zone,3H,13.9805,107.6148,YA829468,6536-4,A/1/35th Inf 19Oct66.,1/35 Inf DSJ 18Oct66,
2,,3rd Field Hospital,10.79988,106.6661,XS82589403,6330-4,"10 Tân Sơn Hoà, Saigon. Address now 247 Hoàng Văn Thụ, Southeastern Armed Forces Museum.",,A B
3,Fire (Support)(Support Patrol) Base,3T,13.9668,107.6275,YA843453,6536-4,"4/42nd Arty (105mm)(T) Apr67. Op Sam Houston. New Plei Djering AF. Also 853455, 862455.",AD385638,
4,Fire (Support)(Support Patrol) Base,3T,13.9668,107.6294,YA845453,6536-4,2/4th ID FCP mortared 3Jan67. Op Sam Houston. New Plei Djereng.,AD385638,
5,Fire (Support)(Support Patrol) Base,3T,14.0036,107.634,YA850455,6536-4,"aka FSB 3 Church, Regular Hill BC. 2/4th ID FCP mortared 14Feb67. Also 1/4th ID FCP beginning 19Feb67. Op Sam Houston. NewPlei Djereng. Also 852452, 2/4th ID FCP 8Mar67 (Ref 624 listing 852542).","624, AD385638",
6,Riverine Assault Landing Zone,3-6,10.3865,106.2641,XS388481,6229-1,Beach LZ 3-6. B/3/47th Inf (Riv) 19Dec67. Op Tiger Coronado IX.,5,
7,Landing Zone,4,12.9484,108.0139,AQ765330,6634-4,4Mar67.,,
8,Checkpoint,4,13.7541,108.0087,AR770222,6636-4,D-/1/9th Cav 23Aug66. Op Paul Revere II. vic FSB Sylvia.,6,
9,Observation Post,4,16.0178,108.1235,AT927727,6641-3,USMC.,,
10,Observation Post,4,16.0633,108.1385,AT943777,6641-3,"7th EBn, USMC.",,
11,Landing Zone,4,11.5714,108.8639,BN676797,6732-2,17Mar67.,,
12,Landing Zone,4,12.4473,108.979,BP808765,6733-1,16Apr67.,,
13,Landing Zone,4,14.0131,108.7546,BR580500,6737-2,15Dec65.,,
14,Artillery Position,4,14.0557,108.958,BR800545,6737-2,A/1/21st Arty (105mm)(T) 10Oct65. Op Shiny Bayonet.,1 ACD DSJ,
15,Artillery Position,4,14.0539,108.9608,BR803543,6737-2,A/2/7th Cav 10Oct65. Op Shiny Bayonet.,1 ACD DSJ,
16,Landing Zone,4,14.8296,108.7169,BS548404,6738-4,C-/4/3rd Inf 3Jan71. South of Minh Long.,4/3 Inf OPORD 1-71,
17,Landing Zone,4,14.5988,108.9941,BS844146,6738-2,C/1/7th Cav 4May66. Op Davy Crockett.,AD824475,
18,Landing Zone,4,14.5261,109.0215,BS873065,6838-3,3/1st ACD Op Masher/White Wing.,"11, 646",
19,Landing Zone,4,14.5301,109.0236,BS875070,6838-3,"C/2/7th Cav 28Jan66. Op Masher. Just south is the Phung Du Cemetery (875062), scene of heavy fighting after the cold insertion.","11, 355",
20,Observation Post,4,15.40629,108.72447,BT56280422,6739-4,CLCB. 3/12th Marines Jun65. Elev. 21.7m.,3/12 Marines CC,
21,Checkpoint,4,15.3735,108.806,BT650005,6739-1,1/7th Marines 24Aug65. Op Starlite.,7,
22,Landing Zone,4,11.4901,105.8956,WT981700,6132-2,"Objective 4. 1-/5th Inf (M), 2/1st Inf CA 3Feb67. Op Gadsden. vic Lo Go.",577,
23,Observation Post,4,16.8069,106.8625,XD989588,6342-1,H/2/1st Marines 18Jul66. Op Hastings.,737,
24,Landing Zone,4,10.6429,106.3556,XS487765,6230-2,ARVN 25 ID 18Apr66.,"392, AD391696",
25,Landing Zone,4,10.6818,106.545,XS694809,6330-3,ARVN 32/3 Abn Bn CA 27Dec66. Op Fairfax.,AD394027,
26,Landing Zone,4,11.1828,106.5256,XT670363,6331-3,"2/503rd Inf (Abn) 9Jan67. Op Cedar Falls. Thanh Dien Forest Reserve. Listing is 670365, grid from map.","AD391484, AD391115",
27,Position,4,11.0515,106.5927,XT744218,6331-3,Objective 4. 3/11th ACR. Op Cedar Falls 11Jan67.,AD391484,
28,Artillery Position,4,11.0421,106.6393,XT795208,6331-3,"BC-4. A-/5/2nd Arty (AW)(SP), A/168th EBn (Cbt) BC Jul67.",AD389325,
29,Artillery Position,4,11.0439,106.6402,XT796210,6331-3,A/168th EBn (Cbt) camp 4 16Aug67. Op Paul Bunyan.,168 EBn AAR,
30,Fire (Support)(Support Patrol) Base,4,14.075,107.39,YA585570,6437-2,aka LZ/FSB Red Warrior 1. 1/12th Inf 18Oct-11Nov66.,,
31,Fire (Support)(Support Patrol) Base,4,14.1582,107.4677,YA668663,6437-2,aka LZ 519A. 1/12th Inf FSB opened 8Mar67. Fourth 1/12 FSB in 1967.,1/12 Inf History 1967,A
32,Landing Zone,4,13.6313,107.662,YA884082,6536-3,1/7th Cav 4Apr66.,AD824627,A
33,Landing Zone,4,14.7931,107.6864,YB896368,6538-4,2-/35th Inf 17Apr66. Op Longfellow.,3/25 ID AAR,
34,Fire (Support)(Support Patrol) Base,4,14.6273,107.69,YB902185,6538-3,"Hill 664. aka LZ Kitty. 4/503rd Inf (Abn) Jun67, B/3/319 and 1/77th Arty (105mm)(T). Also 869186.",424,A B
35,Fire (Support)(Support Patrol) Base,4,14.6255,107.6909,YB903183,6538-3,4/503rd Inf (Abn) base 28Jun67. Op Greeley. Also 903185.,"AD387626, AD386216",
36,Fire (Support)(Support Patrol) Base,4,14.6282,107.6909,YB903186,6538-3,"A,D/4/503rd Inf (Abn) 13Nov67. Op MacArthur.","426, AD390643",A
37,Fire (Support)(Support Patrol) Base,4,15.0955,107.6973,YB903703,6539-3,,,
38,Fire (Support)(Support Patrol) Base,4,16.1184,107.3999,YC571832,6441-2,2/501st Inf (Aml).,212,
39,Fire (Support)(Support Patrol) Base,4,10.817,107.5688,YS813966,6530-4,ARVN 182 Arty Bn (105mm)(T) CP Mar72. Previously FSB Strike (USA).,602,
40,Outpost,4,10.8949,106.8549,YT032047,6330-1,"Outpost 4, Long Binh Tan Ville. B/720th MP Bn.",185,
41,Fire (Support)(Support Patrol) Base,4,10.9399,107.086,YT284098,6430-4,"B/3/5th Cav, C/7/9th Arty (105mm)(T) Jul67. Op Kittyhawk. Listing is YS.",293,
42,Fire (Support)(Support Patrol) Base,4,13.6067,107.919,ZA163058,6536-2,MS/4/503rd Inf (Abn) 12Jun67. Op Francis Marion. Plei Me.,346,A
43,Landing Zone,4,15.7907,107.9687,ZC185477,6540-1,Hill 462. 1st MarDiv Jan69.,335,
44,Landing Zone,4A,11.7061,106.211,XT324940,6232-3,"aka LZ 41. 173rd Abn Feb-Apr67. Op Junction City. Also 373823, 372828.",,
45,Landing Zone,4A,,,,,C-/1/14th Inf 15Oct66.,3/25 ID TF Walker DSJ,
46,Landing Zone,4B,11.61,106.22,XT3393,6232-4,aka LZ 42. 173rd Abn Feb-Apr67. Op Junction City Feb-Apr67.,AD390547,
47,Landing Zone,4B,13.8,107.5,YA,6536-5,B/2/12th Cav 8Jun66. Op Paul Revere.,140,
48,Fire (Support)(Support Patrol) Base,4C,13.9252,107.714,YA937408,6536-4,CP/1/35th Inf 30Aug66.,1/35 Inf DSJ,
49,Fire (Support)(Support Patrol) Base,4C,13.9215,107.7186,YA942404,6536-4,"C/1/35th Inf, A/2/9th Arty (105mm)(T) 30Aug66.",1/35 Inf DSJ,
50,Fire (Support)(Support Patrol) Base,4C,13.9224,107.7214,YA945405,6536-4,B/1/14th Inf 15Oct66.,1/35 Inf DSJ,
51,Fire (Support)(Support Patrol) Base,4C,13.9233,107.7232,YA947406,6536-4,"1/35th Inf CP, 2/9th Arty (105mm)(T) 1Sep66. Also 949406.",1/35 Inf DSJ,
52,Fire (Support)(Support Patrol) Base,4C,13.9251,107.7233,YA947408,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 31Aug66.",1/35 Inf DSJ,
53,Fire (Support)(Support Patrol) Base,4C,13.9196,107.7241,YA948402,6536-4,A/3/6th Arty (105mm)(SP) 13Oct66. Also 948405.,3/25 ID TF Walker DSJ,
54,Fire (Support)(Support Patrol) Base,4C,13.9242,107.7242,YA948407,6536-4,"3/B/1/35th Inf, 1/35th CP 28Aug66.",1/35 Inf DSJ,
55,Fire (Support)(Support Patrol) Base,4C,13.9251,107.7242,YA948408,6536-4,"1/14th Inf Oct66, CP,4.2,C/1/35th Inf 27Aug66. Also 948407.",1/35 Inf DSJ,A
56,Fire (Support)(Support Patrol) Base,4E,13.9529,107.7375,YA962439,6536-4,C/1/14th Inf 15Oct66.,3/25 ID TF Walker DSJ,
57,Fire (Support)(Support Patrol) Base,4E,13.95372,107.73821,YA96284399,6536-4,B/3/6th Arty (105mm)(SP) 12-29Feb68. Not named in report.,AD391259,
0,Fire (Support)(Support Patrol) Base,4E,13.9511,107.7384,YA963437,6536-4,"1/35th Inf CP 13Sep66, 1/14th Inf Oct66.",1/35 Inf DSJ,A
1,Fire (Support)(Support Patrol) Base,4E,13.9529,107.7384,YA963439,6536-4,"1/35th Inf CP, A/2/9th Arty (105mm)(T) 17Sep66.",1/35 Inf DSJ,
2,Fire (Support)(Support Patrol) Base,4E,13.9511,107.7393,YA964437,6536-4,B/1/35th Inf 19Sep66.,1/35 Inf DSJ,
3,Fire (Support)(Support Patrol) Base,4E,13.9529,107.7393,YA964439,6536-4,B/3/6th Arty (105mm)(SP) 7Feb68. Not named in report.,AD391259,
4,Landing Zone,4H,13.9273,107.7677,YA995411,6536-1,A/1/14th Inf 15Oct66. vic/on FSB Buffalo IV.,3/25 ID TF Walker DSJ,
5,Landing Zone,4Z,,,,,C/1/35th Inf 8Jun66. Op Paul Revere.,140,
6,Fire (Support)(Support Patrol) Base,4-11,15.125,108.7054,BS539731,6739-3,"D/6/11th Arty (105mm)(T) Aug70-71. Initially FSB Kelley-McCoy (see), renamed for ARVN 4 Rgt and 11th LIB.","43, 512, AD515335, AD513756",
7,Fire (Support)(Support Patrol) Base,4-11,15.1252,108.7052,BS539732,6739-3,Hill 54. Constructed by ARVN 3/4 Jul69. Add AD508671.,"206, 273, 382, AD512565, AD515147",A
8,Fire (Support)(Support Patrol) Base,4-11,15.1241,108.7128,BS547730,6739-3,Hill 54. D/6/11th Arty (105mm)(T) 27Nov69.,"143, AD506484",
9,Observation Post,5,14.4517,108.0851,AR863994,6637-4,ARVN.,AD501718,
10,Landing Zone,5,12.4531,109.0129,BP845772,6833-4,aka Hill 336. 16Apr67.,,
11,Artillery Position,5,14.3058,108.8325,BR667823,6737-1,"C/1/12th Cav 13Mar, A/1/30th Arty (155mm)(T) 14Mar66. Op Jim Bowie.",AD829472,
12,Artillery Position,5,14.0486,108.9748,BR818537,6737-1,C/2/7th Cav 10Oct65. Op Shiny Bayonet.,1 ACD DSJ,
13,Artillery Position,5,14.0468,108.9766,BR820535,6737-1,C/2/17th Arty (105mm)(T) 10Oct65. Op Shiny Bayonet.,1 ACD DSJ,
14,Observation Post,5,15.2757,108.5185,BS340900,6739-4,aka LZ Tra Bong. G-/29th Arty (SLT) Oct70.,AD515147,
15,Observation Post,5,15.3304,108.7185,BS556958,6739-4,5/46th Inf.,,
16,Observation Post,5,15.3486,108.7288,BS567978,6739-4,"1/6th Inf, 1/52nd Inf Protects Bridge 19. Chu Lai.",,
17,Landing Zone,5,14.5239,108.8777,BS718064,6738-2,Hill 484. 2/7th Cav 7Feb66. Op White Wing.,11,
18,Observation Post,5,15.2758,108.519,BT342902,6739-4,aka LZ Tra Bong.,,
19,Landing Zone,5,13.2121,109.1498,CQ000610,6835-3,Pony Team #2/2/8th Cav 25Jun66. Op Nathan Hale.,171,
20,Position,5,10.4173,106.8168,XS993518,6329-1,Obj 5. C/3/47th Inf (Riv) 14Aug67. Op Tiger Coronado III RSSZ.,2,
21,Fire (Support)(Support Patrol) Base,5,11.7279,106.1652,XT274964,6232-3,1/1st ID TAC CP 22Feb67. Op Junction City I.,AD390548,
22,Fire (Support)(Support Patrol) Base,5,11.7315,106.1653,XT274968,6232-3,"Also FSB 6. 1/28th Inf, then D/1/5th Arty (105mm)(T) 22Feb67. Op Junction City I.",AD390548,
23,Fire (Support)(Support Patrol) Base,5,11.7289,106.1661,XT275965,6232-3,"1/28th Inf, D/1/5th Arty (105mm)(T) 22Feb67. Op Junction City II.",AD390548,
24,Fire (Support)(Support Patrol) Base,5,11.7306,106.1662,XT275967,6232-3,1/1st ID 22 Feb67. Op Junction City I.,AD390548,
25,Landing Zone,5,11.2025,106.4819,XT622384,6231-2,1/28th Inf 9Jan67. Op Cedar Falls. Also 622383.,"710, AD391115",
26,Artillery Position,5 (V),11.0983,106.6117,XT764270,6331-2,A/168th EBn (Cbt) TF base camp 5. Op Paul Bunyan.,168 CEB AAR,
27,Artillery Position,5 (V),11.101,106.6131,XT766273,6331-2,"A-/5/2nd Arty, 2/2nd Inf (M), 1-/4th Cav, A/168th EBn (Cbt) base camp 25Aug-11Sep67. Op Paul Bunyan.",AD389131,
28,Fire (Support)(Support Patrol) Base,5,14.0666,107.4094,YA606561,6437-2,aka LZ Red Warrior 2 (II). 1/12th Inf 13Nov-1Dec66.,,
29,Fire (Support)(Support Patrol) Base,5,13.8639,107.5549,YA766338,6536-4,"aka LZ Lay, LZ 10B. 1/12th Inf 16Mar67.",,
30,Fire (Support)(Support Patrol) Base,5,13.8578,107.679,YA900333,6536-4,4Jan66.,,
31,Fire (Support)(Support Patrol) Base,5,13.8578,107.6809,YA902333,6536-4,"HHC,D/1/12th Cav, A,C/2/17, HHB/2/19th (Abn) Arty (105mm)(T) 4Jan66. Op Matador. vic Le Thanh.",376,
32,Landing Zone,5,14.8489,107.6797,YB888430,6538-4,1-/35th Inf 18Apr66. Op Longfellow.,3/25 ID AAR,
33,Fire (Support)(Support Patrol) Base,5,14.5956,107.7711,YB991151,6538-2,"Hill 1338. 1/22nd Inf Also 989153, 988153.",392,A
34,Landing Zone,5,16.22,107.45,YC6294,6441-2,USMC.,,
35,Landing Zone,5,10.9077,106.9047,YT086061,6330-1,LZ/Obj 5. 2/502nd Inf (Abn) 25Jun65. Long Binh Post.,12,
